CODIGO_IES,AÑO,SEMESTRE,AUXILIAR,TECNICO,PROFESIONAL,DIRECTIVO,TOTAL
1815,2019,1,1,0,0,1,2
1815,2019,1,0,0,5,0,5
1815,2019,1,1,0,3,1,5
2709,2019,1,6,11,9,1,27
2709,2019,1,3,1,2,1,7
2709,2019,1,4,1,1,1,7
1201,2019,1,13,1,7,7,28
1201,2019,1,15,3,22,7,47
1201,2019,1,28,19,18,7,72
1201,2019,1,12,3,2,6,23
1201,2019,1,3,1,3,2,9
1220,2019,1,1,0,1,1,3
1223,2019,1,2,0,1,1,4
9131,2019,1,27,4,80,23,134
1117,2019,1,247,233,200,23,703
4801,2019,1,0,0,1,1,2
9927,2019,2,1,1,19,7,28
2102,2019,1,1,0,0,0,1
2102,2019,1,1,0,1,0,2
2102,2019,1,1,0,2,4,7
2102,2019,1,1,0,0,0,1
2102,2019,1,1,1,0,1,3
2102,2019,1,1,0,1,0,2
2102,2019,1,1,0,0,0,1
2102,2019,1,1,0,0,1,2
2102,2019,1,1,0,0,3,4
2102,2019,1,1,0,0,0,1
2102,2019,1,1,1,1,1,4
2102,2019,1,1,0,0,0,1
2837,2019,2,1,0,5,1,7
3706,2019,2,10,39,26,1,76
2723,2019,2,5,0,1,1,7
2723,2019,2,3,0,3,1,7
2723,2019,2,0,0,1,0,1
2723,2019,2,14,0,6,1,21
2723,2019,2,0,0,0,1,1
2723,2019,2,1,0,1,0,2
2723,2019,2,1,0,1,1,3
9129,2019,2,3,2,2,0,7
3822,2019,2,4,0,7,11,22
3201,2019,2,23,4,52,19,98
3107,2019,1,2,0,1,1,4
3107,2019,1,2,0,1,1,4
3107,2019,1,5,5,7,1,18
1813,2019,2,6,7,120,1,134
1813,2019,2,38,7,35,1,81
1813,2019,2,22,128,57,1,208
1813,2019,2,0,0,4,1,5
1813,2019,2,8,10,18,1,37
1705,2019,2,350,15,103,49,517
4822,2019,2,22,29,9,18,78
9104,2019,2,45,10,50,8,113
2302,2019,2,23,17,33,34,107
2743,2019,2,0,0,1,0,1
2743,2019,2,3,0,1,0,4
2743,2019,2,0,0,1,0,1
2743,2019,2,1,0,3,0,4
2743,2019,2,1,2,3,0,6
1702,2019,1,25,297,254,90,666
3809,2019,2,2,2,9,3,16
2832,2019,1,5,0,1,1,7
2832,2019,1,1,0,1,1,3
2832,2019,1,1,0,1,1,3
2832,2019,1,1,0,1,1,3
2832,2019,1,1,0,1,1,3
2832,2019,1,1,0,1,1,3
2832,2019,1,1,0,1,1,3
2842,2019,2,3,2,1,0,6
2842,2019,2,0,0,3,1,4
2842,2019,2,0,0,1,0,1
2842,2019,2,3,0,1,0,4
1118,2019,1,127,25,60,32,244
1807,2019,2,2,1,6,1,10
3902,2019,2,8,2,35,1,46
2207,2019,2,16,2,11,14,43
9127,2019,2,7,11,19,11,48
2723,2019,1,5,0,6,1,12
2723,2019,1,0,0,0,1,1
2723,2019,1,1,0,1,0,2
2723,2019,1,0,0,0,1,1
2723,2019,1,1,0,1,1,3
2723,2019,1,1,0,1,1,3
3801,2019,2,1,0,0,0,1
3801,2019,2,7,5,7,2,21
1830,2019,2,0,4,61,5,70
2832,2019,2,2,0,1,1,4
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2832,2019,2,1,0,1,1,3
2743,2019,2,0,0,1,0,1
2743,2019,2,0,1,0,0,1
3107,2019,2,2,0,1,1,4
1713,2019,2,400,176,458,39,1073
1815,2019,2,0,0,1,0,1
1815,2019,2,4,0,1,1,6
1801,2019,2,247,57,72,39,415
9921,2019,2,2,0,2,5,9
2102,2019,2,0,2,6,1,9
2102,2019,2,0,2,7,1,10
2102,2019,2,0,1,0,1,2
2102,2019,2,1,8,16,1,26
2102,2019,2,0,0,0,1,1
1808,2019,2,2,0,0,1,3
1808,2019,2,0,0,2,0,2
4701,2019,2,25,14,12,9,60
2727,2019,2,0,80,125,17,222
2741,2019,1,4,4,9,8,25
1812,2019,2,178,21,89,39,327
2709,2019,2,4,1,1,1,7
2709,2019,2,3,0,2,1,6
1803,2019,2,173,338,161,152,824
4813,2019,2,7,7,4,0,18
4101,2019,1,62,32,22,2,118
9934,2019,2,16,10,11,3,40
9934,2019,1,16,10,11,3,40
1115,2019,2,193,111,209,24,537
9906,2019,1,14,16,5,8,43
9906,2019,2,13,15,4,8,40
1201,2019,2,2,0,5,1,8
1201,2019,2,1,0,8,1,10
1733,2019,2,12,1,19,6,38
1825,2019,2,99,27,82,4,212
1806,2019,2,4,0,1,2,7
1806,2019,2,0,7,2,1,10
2301,2019,2,3,0,1,0,4
2837,2019,2,1,3,4,1,9
2837,2019,2,0,0,1,2,3
2728,2019,2,112,120,249,106,587
1809,2019,2,17,62,38,24,141
2840,2019,2,45,20,23,20,108
1810,2019,2,27,11,26,3,67
1817,2019,2,42,42,53,3,140
1819,2019,2,15,19,24,1,59
1802,2019,2,63,9,29,12,113
3720,2019,2,21,155,36,14,226
3301,2019,2,52,47,16,44,159
2720,2019,2,91,37,44,3,175
2723,2019,2,1,0,1,0,2
2723,2019,2,6,0,2,0,8
2723,2019,2,2,0,3,0,5
2723,2019,2,1,0,3,2,6
2723,2019,2,0,0,1,1,2
2723,2019,2,1,0,1,0,2
2723,2019,2,1,0,1,1,3
2723,2019,2,0,0,0,1,1
9129,2019,2,0,0,3,0,3
2850,2019,2,84,0,74,12,170
1111,2019,2,202,76,100,15,393
3107,2019,1,6,1,1,1,9
3107,2019,1,2,2,0,1,5
1813,2019,2,3,39,20,1,63
1813,2019,2,16,15,95,1,127
1813,2019,2,17,35,184,3,239
1212,2019,2,90,102,35,38,265
1716,2019,2,74,151,52,13,290
3705,2019,2,71,0,62,21,154
1201,2019,2,2,0,0,2,4
1201,2019,2,3,1,2,3,9
1201,2019,2,12,0,16,4,32
1201,2019,2,7,3,8,4,22
1201,2019,2,27,2,6,4,39
1201,2019,2,12,3,2,6,23
1201,2019,2,22,4,52,6,84
1201,2019,2,18,2,45,3,68
1220,2019,2,1,0,1,1,3
1808,2019,1,2,7,2,1,12
1808,2019,1,1,0,2,1,4
1808,2019,1,6,0,3,3,12
1808,2019,1,1,0,0,1,2
2106,2019,1,3,14,13,5,35
2106,2019,1,2,26,10,2,40
1217,2019,1,0,14,34,6,54
2106,2019,2,17,38,45,12,112
